Time (index),Device 0 - Follower 0,Device 0 - Follower 1,Device 0 - Follower 2,Device 0 - Follower 3
0,1005,1006,1090,1091
1,1005,1006,1090,1091
2,1005,1007,1090,1091
3,1006,1007,1090,1091
4,1005,1007,1090,1091
5,1006,1007,1090,1091
6,1006,1006,1090,1091
7,1005,1006,1090,1091
8,1006,1006,1090,1091
9,1005,1007,1090,1091
10,1006,1007,1090,1091
11,1006,1006,1090,1091
12,1005,1007,1090,1091
13,1005,1007,1090,1091
14,1005,1007,1090,1091
15,1006,1007,1090,1091
16,1005,1007,1090,1091
17,1005,1006,1090,1091
18,1006,1007,1090,1091
19,1006,1006,1090,1091
20,1006,1006,1090,1091
21,1005,1006,1090,1091
22,1006,1006,1090,1091
23,1006,1006,1090,1091
24,1006,1007,1090,1091
25,1005,1007,1090,1091
26,1005,1007,1090,1091
27,1005,1007,1090,1091
28,1005,1006,1090,1091
29,1005,1006,1090,1091
30,1005,1006,1090,1091
31,1006,1006,1090,1091
32,1006,1007,1090,1091
33,1006,1007,1090,1091
34,1005,1007,1090,1091
35,1005,1007,1090,1091
36,1005,1006,1090,1091
37,1005,1006,1090,1091
38,1005,1006,1090,1091
39,1005,1007,1090,1091
40,1005,1007,1090,1091
41,1006,1006,1090,1091
42,1005,1006,1090,1091
43,1005,1006,1090,1091
44,1006,1007,1090,1091
45,1006,1006,1090,1091
46,1006,1006,1090,1091
47,1005,1005,1090,1091
48,1005,1006,1090,1091
49,1005,1006,1090,1091
50,1005,1006,1090,1091
51,1006,1007,1090,1091
52,1006,1006,1090,1091
53,1006,1007,1090,1091
54,1005,1007,1090,1091
55,1006,1007,1090,1091
56,1006,1006,1090,1091
57,1006,1007,1090,1091
58,1005,1006,1090,1091
59,1005,1006,1090,1091
60,1006,1007,1090,1091
61,1006,1007,1090,1091
62,1005,1006,1090,1091
63,1005,1007,1090,1091
64,1005,1006,1090,1091
65,1006,1006,1090,1091
66,1006,1007,1090,1091
67,1005,1006,1090,1091
68,1005,1006,1090,1091
69,1005,1006,1090,1091
70,1005,1007,1090,1091
71,1006,1007,1090,1091
72,1005,1006,1090,1091
73,1006,1007,1090,1091
74,1005,1006,1090,1091
75,1006,1007,1090,1091
76,1005,1006,1090,1091
77,1006,1007,1090,1091
78,1006,1006,1090,1091
79,1006,1006,1090,1091
80,1005,1007,1090,1091
81,1005,1007,1090,1091
82,1005,1006,1090,1091
83,1005,1007,1090,1091
84,1006,1007,1090,1091
85,1005,1007,1090,1091
86,1005,1006,1090,1091
87,1005,1006,1090,1091
88,1006,1007,1090,1091
89,1005,1007,1090,1091
90,1005,1006,1090,1091
91,1005,1007,1090,1091
92,1006,1006,1090,1091
93,1005,1006,1090,1091
94,1006,1006,1090,1091
95,1006,1006,1090,1091
96,1006,1007,1090,1091
97,1006,1007,1090,1091
98,1005,1006,1090,1091
99,1006,1007,1090,1091
100,1005,1006,1090,1091
101,1006,1007,1090,1091
102,1006,1006,1090,1091
103,1006,1006,1090,1091
104,1005,1006,1090,1091
105,1006,1006,1090,1091
106,1005,1007,1090,1091
107,1006,1006,1090,1091
108,1005,1006,1090,1091
109,1005,1006,1090,1091
110,1006,1006,1090,1091
111,1006,1006,1090,1091
112,1006,1006,1090,1091
113,1005,1006,1090,1091
114,1005,1007,1090,1091
115,1006,1006,1090,1091
116,1005,1006,1090,1091
117,1006,1006,1090,1091
118,1005,1006,1090,1091
119,1005,1006,1090,1091
120,1005,1007,1090,1091
121,1005,1006,1090,1091
122,1005,1005,1090,1091
123,1005,1006,1090,1091
124,1006,1006,1090,1091
125,1006,1006,1090,1091
126,1005,1007,1090,1091
127,1006,1007,1090,1091
128,1005,1007,1090,1091
129,1005,1007,1090,1091
130,1006,1006,1090,1091
131,1005,1007,1090,1091
132,1006,1006,1090,1091
133,1006,1007,1090,1091
134,1006,1006,1090,1091
135,1006,1007,1090,1091
136,1006,1007,1090,1091
137,1006,1006,1090,1091
138,1006,1007,1090,1091
139,1005,1006,1090,1091
140,1005,1007,1090,1091
141,1005,1007,1090,1091
142,1006,1006,1090,1091
143,1005,1006,1091,1091
144,1006,1006,1091,1091
145,1006,1006,1091,1091
146,1005,1006,1091,1091
147,1006,1006,1091,1091
148,1006,1007,1090,1091
149,1005,1007,1090,1091
150,1006,1006,1090,1091
151,1005,1007,1091,1091
152,1005,1007,1090,1091
153,1006,1006,1090,1091
154,1006,1006,1091,1091
155,1005,1006,1090,1091
156,1005,1007,1090,1091
157,1006,1007,1090,1091
158,1005,1006,1091,1092
159,1005,1007,1091,1091
160,1005,1006,1092,1091
